"mturk_participant_id","trial_id","rt","response","itemA","itemB","categoryA","categoryB","type","category_pairs","item_pairs","item_pair_means"
"pilot_2w19ksqx74","causal_trial_1",6897,78,"feel tired","remember something","bio","cog","across domain","bio-cog","feel tired-remember something",77
"pilot_2w19ksqx74","causal_trial_2",26109,25,"feel pain","jump up and down","bio","act","across domain","bio-act","feel pain-jump up and down",48
"pilot_2w19ksqx74","causal_trial_3",4350,78,"think about something","feel sick","cog","bio","across domain","cog-bio","think about something-feel sick",81
"pilot_2w19ksqx74","causal_trial_4",11835,68,"take a walk","hear something","act","cog","across domain","act-cog","take a walk-hear something",39
"pilot_2w19ksqx74","causal_trial_5",8079,60,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
"pilot_2w19ksqx74","causal_trial_6",17583,92,"take a walk","choose what to do","act","cog","across domain","act-cog","take a walk-choose what to do",59
"pilot_2w19ksqx74","causal_trial_7",10788,87,"hear something","sit down","cog","act","across domain","cog-act","hear something-sit down",87
"pilot_2w19ksqx74","causal_trial_8",4936,84,"sit down","remember something","act","cog","across domain","act-cog","sit down-remember something",69
"pilot_2w19ksqx74","causal_trial_9",8177,75,"think about something","kick something","cog","act","across domain","cog-act","think about something-kick something",62
"pilot_2w19ksqx74","causal_trial_10",6071,27,"feel hungry","hear something","bio","cog","across domain","bio-cog","feel hungry-hear something",36
"pilot_2w19ksqx74","causal_trial_11",3552,76,"see something","feel pain","cog","bio","across domain","cog-bio","see something-feel pain",64
"pilot_2w19ksqx74","causal_trial_12",5412,63,"feel scared","feel hungry","bio","bio","within domain","bio-bio","feel scared-feel hungry",63
"pilot_2w19ksqx74","causal_trial_13",7142,95,"think about something","take a walk","cog","act","across domain","cog-act","think about something-take a walk",83
"pilot_2w19ksqx74","causal_trial_14",4670,68,"feel tired","feel pain","bio","bio","within domain","bio-bio","feel tired-feel pain",67
"pilot_2w19ksqx74","causal_trial_15",8285,68,"choose what to do","take a walk","cog","act","across domain","cog-act","choose what to do-take a walk",76
"pilot_2w19ksqx74","causal_trial_16",32769,78,"take a walk","jump up and down","act","act","within domain","act-act","take a walk-jump up and down",56
"pilot_2w19ksqx74","causal_trial_17",6650,85,"feel scared","choose what to do","bio","cog","across domain","bio-cog","feel scared-choose what to do",76
"pilot_2w19ksqx74","causal_trial_18",4366,40,"remember something","hear something","cog","cog","within domain","cog-cog","remember something-hear something",16
"pilot_2w19ksqx74","causal_trial_19",53180,83,"reach for something","think about something","act","cog","across domain","act-cog","reach for something-think about something",62
"pilot_2w19ksqx74","causal_trial_20",5543,60,"remember something","feel hungry","cog","bio","across domain","cog-bio","remember something-feel hungry",54
"pilot_2w19ksqx74","causal_trial_21",3472,50,"kick something","feel hungry","act","bio","across domain","act-bio","kick something-feel hungry",64
"pilot_2w19ksqx74","causal_trial_22",3478,97,"feel scared","feel sick","bio","bio","within domain","bio-bio","feel scared-feel sick",72
"pilot_2w19ksqx74","causal_trial_23",26295,75,"feel sick","feel scared","bio","bio","within domain","bio-bio","feel sick-feel scared",84
"pilot_2w19ksqx74","causal_trial_24",6128,80,"feel tired","choose what to do","bio","cog","across domain","bio-cog","feel tired-choose what to do",68
"pilot_2w19ksqx74","causal_trial_25",4358,90,"jump up and down","kick something","act","act","within domain","act-act","jump up and down-kick something",54
"pilot_2w19ksqx74","causal_trial_26",3618,65,"kick something","choose what to do","act","cog","across domain","act-cog","kick something-choose what to do",65
"pilot_2w19ksqx74","causal_trial_27",6314,96,"take a walk","feel tired","act","bio","across domain","act-bio","take a walk-feel tired",64
"pilot_2w19ksqx74","causal_trial_28",30422,77,"choose what to do","kick something","cog","act","across domain","cog-act","choose what to do-kick something",80
"pilot_2w19ksqx74","causal_trial_29",7829,77,"think about something","feel pain","cog","bio","across domain","cog-bio","think about something-feel pain",58
"pilot_2w19ksqx74","causal_trial_30",4036,89,"remember something","feel tired","cog","bio","across domain","cog-bio","remember something-feel tired",66
"pilot_2w19ksqx74","causal_trial_31",5931,75,"sit down","hear something","act","cog","across domain","act-cog","sit down-hear something",49
"pilot_2w19ksqx74","causal_trial_32",7257,88,"jump up and down","remember something","act","cog","across domain","act-cog","jump up and down-remember something",88
"pilot_2w19ksqx74","causal_trial_33",26136,77,"sit down","take a walk","act","act","within domain","act-act","sit down-take a walk",36
"pilot_2w19ksqx74","causal_trial_34",3018,91,"feel tired","feel sick","bio","bio","within domain","bio-bio","feel tired-feel sick",91
"pilot_2w19ksqx74","causal_trial_35",3068,69,"hear something","take a walk","cog","act","across domain","cog-act","hear something-take a walk",50
"pilot_2w19ksqx74","causal_trial_36",6264,100,"think about something","remember something","cog","cog","within domain","cog-cog","think about something-remember something",92
"pilot_2w19ksqx74","causal_trial_37",3102,95,"jump up and down","feel tired","act","bio","across domain","act-bio","jump up and down-feel tired",98
"pilot_2w19ksqx74","causal_trial_38",27169,67,"reach for something","sit down","act","act","within domain","act-act","reach for something-sit down",67
"pilot_2w19ksqx74","causal_trial_39",12600,76,"hear something","choose what to do","cog","cog","within domain","cog-cog","hear something-choose what to do",77
"pilot_2w19ksqx74","causal_trial_40",4853,100,"remember something","think about something","cog","cog","within domain","cog-cog","remember something-think about something",92
"pilot_2w19ksqx74","causal_trial_41",21386,100,"take a walk","see something","act","cog","across domain","act-cog","take a walk-see something",90
"pilot_2w19ksqx74","causal_trial_42",3068,95,"reach for something","hear something","act","cog","across domain","act-cog","reach for something-hear something",60
"pilot_2zv63jjqvs","causal_trial_1",29362,78,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_2zv63jjqvs","causal_trial_2",9879,77,"hear something","kick something","cog","act","across domain","cog-act","hear something-kick something",77
"pilot_2zv63jjqvs","causal_trial_3",12929,78,"hear something","choose what to do","cog","cog","within domain","cog-cog","hear something-choose what to do",77
"pilot_2zv63jjqvs","causal_trial_4",8196,100,"choose what to do","sit down","cog","act","across domain","cog-act","choose what to do-sit down",83
"pilot_2zv63jjqvs","causal_trial_5",12129,75,"see something","feel hungry","cog","bio","across domain","cog-bio","see something-feel hungry",64
"pilot_2zv63jjqvs","causal_trial_6",12597,23,"feel hungry","feel scared","bio","bio","within domain","bio-bio","feel hungry-feel scared",23
"pilot_2zv63jjqvs","causal_trial_7",8913,77,"think about something","choose what to do","cog","cog","within domain","cog-cog","think about something-choose what to do",70
"pilot_2zv63jjqvs","causal_trial_8",19930,76,"choose what to do","feel sick","cog","bio","across domain","cog-bio","choose what to do-feel sick",76
"pilot_2zv63jjqvs","causal_trial_9",28999,100,"jump up and down","feel tired","act","bio","across domain","act-bio","jump up and down-feel tired",98
"pilot_2zv63jjqvs","causal_trial_10",11895,76,"reach for something","feel hungry","act","bio","across domain","act-bio","reach for something-feel hungry",59
"pilot_2zv63jjqvs","causal_trial_11",6646,76,"reach for something","feel pain","act","bio","across domain","act-bio","reach for something-feel pain",76
"pilot_2zv63jjqvs","causal_trial_12",8579,76,"jump up and down","sit down","act","act","within domain","act-act","jump up and down-sit down",59
"pilot_2zv63jjqvs","causal_trial_13",11380,74,"sit down","jump up and down","act","act","within domain","act-act","sit down-jump up and down",37
"pilot_2zv63jjqvs","causal_trial_14",17196,74,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_2zv63jjqvs","causal_trial_15",27263,75,"feel pain","feel scared","bio","bio","within domain","bio-bio","feel pain-feel scared",87
"pilot_2zv63jjqvs","causal_trial_16",7796,74,"feel pain","feel tired","bio","bio","within domain","bio-bio","feel pain-feel tired",64
"pilot_2zv63jjqvs","causal_trial_17",8430,72,"feel sick","remember something","bio","cog","across domain","bio-cog","feel sick-remember something",72
"pilot_2zv63jjqvs","causal_trial_18",8481,75,"take a walk","choose what to do","act","cog","across domain","act-cog","take a walk-choose what to do",59
"pilot_2zv63jjqvs","causal_trial_19",38330,75,"take a walk","reach for something","act","act","within domain","act-act","take a walk-reach for something",66
"pilot_2zv63jjqvs","causal_trial_20",6681,76,"think about something","feel tired","cog","bio","across domain","cog-bio","think about something-feel tired",69
"pilot_2zv63jjqvs","causal_trial_21",5813,75,"feel hungry","reach for something","bio","act","across domain","bio-act","feel hungry-reach for something",84
"pilot_2zv63jjqvs","causal_trial_22",14346,75,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
"pilot_2zv63jjqvs","causal_trial_23",8013,75,"choose what to do","feel pain","cog","bio","across domain","cog-bio","choose what to do-feel pain",46
"pilot_2zv63jjqvs","causal_trial_24",7296,74,"feel tired","kick something","bio","act","across domain","bio-act","feel tired-kick something",55
"pilot_2zv63jjqvs","causal_trial_25",4896,75,"feel pain","kick something","bio","act","across domain","bio-act","feel pain-kick something",54
"pilot_2zv63jjqvs","causal_trial_26",14898,15,"feel tired","hear something","bio","cog","across domain","bio-cog","feel tired-hear something",15
"pilot_2zv63jjqvs","causal_trial_27",4797,75,"see something","feel pain","cog","bio","across domain","cog-bio","see something-feel pain",64
"pilot_2zv63jjqvs","causal_trial_28",7180,74,"jump up and down","feel hungry","act","bio","across domain","act-bio","jump up and down-feel hungry",63
"pilot_2zv63jjqvs","causal_trial_29",4682,75,"feel tired","take a walk","bio","act","across domain","bio-act","feel tired-take a walk",52
"pilot_2zv63jjqvs","causal_trial_30",5896,100,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_2zv63jjqvs","causal_trial_31",6147,76,"think about something","take a walk","cog","act","across domain","cog-act","think about something-take a walk",83
"pilot_2zv63jjqvs","causal_trial_32",4313,76,"see something","feel scared","cog","bio","across domain","cog-bio","see something-feel scared",79
"pilot_2zv63jjqvs","causal_trial_33",7097,25,"feel pain","hear something","bio","cog","across domain","bio-cog","feel pain-hear something",25
"pilot_2zv63jjqvs","causal_trial_34",4647,76,"remember something","feel pain","cog","bio","across domain","cog-bio","remember something-feel pain",56
"pilot_2zv63jjqvs","causal_trial_35",5562,77,"think about something","reach for something","cog","act","across domain","cog-act","think about something-reach for something",79
"pilot_2zv63jjqvs","causal_trial_36",4463,77,"jump up and down","feel pain","act","bio","across domain","act-bio","jump up and down-feel pain",65
"pilot_2zv63jjqvs","causal_trial_37",5631,76,"feel pain","feel hungry","bio","bio","within domain","bio-bio","feel pain-feel hungry",50
"pilot_2zv63jjqvs","causal_trial_38",4712,77,"hear something","remember something","cog","cog","within domain","cog-cog","hear something-remember something",56
"pilot_2zv63jjqvs","causal_trial_39",31781,76,"kick something","feel scared","act","bio","across domain","act-bio","kick something-feel scared",75
"pilot_2zv63jjqvs","causal_trial_40",5898,76,"feel scared","sit down","bio","act","across domain","bio-act","feel scared-sit down",72
"pilot_2zv63jjqvs","causal_trial_41",4761,77,"think about something","feel scared","cog","bio","across domain","cog-bio","think about something-feel scared",69
"pilot_2zv63jjqvs","causal_trial_42",4680,77,"feel tired","choose what to do","bio","cog","across domain","bio-cog","feel tired-choose what to do",68
"pilot_41dqpcukma","causal_trial_1",3361,70,"see something","feel scared","cog","bio","across domain","cog-bio","see something-feel scared",79
"pilot_41dqpcukma","causal_trial_2",3206,63,"think about something","feel scared","cog","bio","across domain","cog-bio","think about something-feel scared",69
"pilot_41dqpcukma","causal_trial_3",2457,32,"take a walk","feel tired","act","bio","across domain","act-bio","take a walk-feel tired",64
"pilot_41dqpcukma","causal_trial_4",2354,58,"feel scared","remember something","bio","cog","across domain","bio-cog","feel scared-remember something",78
"pilot_41dqpcukma","causal_trial_5",3952,28,"sit down","hear something","act","cog","across domain","act-cog","sit down-hear something",49
"pilot_41dqpcukma","causal_trial_6",3091,42,"take a walk","choose what to do","act","cog","across domain","act-cog","take a walk-choose what to do",59
"pilot_41dqpcukma","causal_trial_7",6147,79,"feel pain","feel tired","bio","bio","within domain","bio-bio","feel pain-feel tired",64
"pilot_41dqpcukma","causal_trial_8",3439,75,"take a walk","see something","act","cog","across domain","act-cog","take a walk-see something",90
"pilot_41dqpcukma","causal_trial_9",3215,31,"see something","feel tired","cog","bio","across domain","cog-bio","see something-feel tired",31
"pilot_41dqpcukma","causal_trial_10",2917,33,"reach for something","feel hungry","act","bio","across domain","act-bio","reach for something-feel hungry",59
"pilot_41dqpcukma","causal_trial_11",2454,66,"feel pain","sit down","bio","act","across domain","bio-act","feel pain-sit down",77
"pilot_41dqpcukma","causal_trial_12",2438,36,"remember something","take a walk","cog","act","across domain","cog-act","remember something-take a walk",51
"pilot_41dqpcukma","causal_trial_13",3705,65,"think about something","jump up and down","cog","act","across domain","cog-act","think about something-jump up and down",74
"pilot_41dqpcukma","causal_trial_14",2282,35,"hear something","jump up and down","cog","act","across domain","cog-act","hear something-jump up and down",38
"pilot_41dqpcukma","causal_trial_15",3367,67,"feel hungry","feel pain","bio","bio","within domain","bio-bio","feel hungry-feel pain",78
"pilot_41dqpcukma","causal_trial_16",2729,20,"kick something","reach for something","act","act","within domain","act-act","kick something-reach for something",63
"pilot_41dqpcukma","causal_trial_17",2722,49,"feel scared","see something","bio","cog","across domain","bio-cog","feel scared-see something",28
"pilot_41dqpcukma","causal_trial_18",4200,61,"feel pain","take a walk","bio","act","across domain","bio-act","feel pain-take a walk",61
"pilot_41dqpcukma","causal_trial_19",3206,61,"see something","hear something","cog","cog","within domain","cog-cog","see something-hear something",55
"pilot_41dqpcukma","causal_trial_20",2583,31,"sit down","take a walk","act","act","within domain","act-act","sit down-take a walk",36
"pilot_41dqpcukma","causal_trial_21",3184,63,"see something","feel pain","cog","bio","across domain","cog-bio","see something-feel pain",64
"pilot_41dqpcukma","causal_trial_22",3631,63,"feel tired","think about something","bio","cog","across domain","bio-cog","feel tired-think about something",63
"pilot_41dqpcukma","causal_trial_23",2405,19,"jump up and down","sit down","act","act","within domain","act-act","jump up and down-sit down",59
"pilot_41dqpcukma","causal_trial_24",2439,31,"see something","feel hungry","cog","bio","across domain","cog-bio","see something-feel hungry",64
"pilot_41dqpcukma","causal_trial_25",2534,33,"feel pain","kick something","bio","act","across domain","bio-act","feel pain-kick something",54
"pilot_41dqpcukma","causal_trial_26",2201,64,"feel scared","feel pain","bio","bio","within domain","bio-bio","feel scared-feel pain",68
"pilot_41dqpcukma","causal_trial_27",1922,33,"feel sick","reach for something","bio","act","across domain","bio-act","feel sick-reach for something",62
"pilot_41dqpcukma","causal_trial_28",2569,39,"see something","sit down","cog","act","across domain","cog-act","see something-sit down",56
"pilot_41dqpcukma","causal_trial_29",2716,60,"kick something","sit down","act","act","within domain","act-act","kick something-sit down",55
"pilot_41dqpcukma","causal_trial_30",2551,27,"reach for something","think about something","act","cog","across domain","act-cog","reach for something-think about something",62
"pilot_41dqpcukma","causal_trial_31",2916,19,"sit down","feel tired","act","bio","across domain","act-bio","sit down-feel tired",19
"pilot_41dqpcukma","causal_trial_32",2607,64,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_41dqpcukma","causal_trial_33",2031,35,"feel scared","think about something","bio","cog","across domain","bio-cog","feel scared-think about something",67
"pilot_41dqpcukma","causal_trial_34",4204,63,"feel tired","reach for something","bio","act","across domain","bio-act","feel tired-reach for something",63
"pilot_41dqpcukma","causal_trial_35",3216,63,"hear something","feel hungry","cog","bio","across domain","cog-bio","hear something-feel hungry",55
"pilot_41dqpcukma","causal_trial_36",184023,61,"take a walk","feel pain","act","bio","across domain","act-bio","take a walk-feel pain",71
"pilot_41dqpcukma","causal_trial_37",89944,61,"remember something","kick something","cog","act","across domain","cog-act","remember something-kick something",60
"pilot_41dqpcukma","causal_trial_38",32005,61,"think about something","choose what to do","cog","cog","within domain","cog-cog","think about something-choose what to do",70
"pilot_41dqpcukma","causal_trial_39",6888,62,"take a walk","think about something","act","cog","across domain","act-cog","take a walk-think about something",75
"pilot_41dqpcukma","causal_trial_40",72363,61,"jump up and down","feel sick","act","bio","across domain","act-bio","jump up and down-feel sick",59
"pilot_41dqpcukma","causal_trial_41",2767,62,"kick something","take a walk","act","act","within domain","act-act","kick something-take a walk",37
"pilot_41dqpcukma","causal_trial_42",3364,61,"feel tired","kick something","bio","act","across domain","bio-act","feel tired-kick something",55
"pilot_anxvs9jox4","causal_trial_1",5236,63,"hear something","feel hungry","cog","bio","across domain","cog-bio","hear something-feel hungry",55
"pilot_anxvs9jox4","causal_trial_2",3819,76,"feel pain","reach for something","bio","act","across domain","bio-act","feel pain-reach for something",72
"pilot_anxvs9jox4","causal_trial_3",4564,25,"reach for something","feel sick","act","bio","across domain","act-bio","reach for something-feel sick",37
"pilot_anxvs9jox4","causal_trial_4",6963,0,"reach for something","hear something","act","cog","across domain","act-cog","reach for something-hear something",60
"pilot_anxvs9jox4","causal_trial_5",25207,75,"jump up and down","think about something","act","cog","across domain","act-cog","jump up and down-think about something",50
"pilot_anxvs9jox4","causal_trial_6",2882,95,"remember something","feel scared","cog","bio","across domain","cog-bio","remember something-feel scared",89
"pilot_anxvs9jox4","causal_trial_7",3486,96,"feel pain","feel scared","bio","bio","within domain","bio-bio","feel pain-feel scared",87
"pilot_anxvs9jox4","causal_trial_8",3811,27,"reach for something","kick something","act","act","within domain","act-act","reach for something-kick something",52
"pilot_anxvs9jox4","causal_trial_9",4165,85,"remember something","think about something","cog","cog","within domain","cog-cog","remember something-think about something",92
"pilot_anxvs9jox4","causal_trial_10",3645,74,"feel scared","choose what to do","bio","cog","across domain","bio-cog","feel scared-choose what to do",76
"pilot_anxvs9jox4","causal_trial_11",3459,25,"feel sick","take a walk","bio","act","across domain","bio-act","feel sick-take a walk",38
"pilot_anxvs9jox4","causal_trial_12",3030,70,"take a walk","feel sick","act","bio","across domain","act-bio","take a walk-feel sick",71
"pilot_anxvs9jox4","causal_trial_13",6005,26,"take a walk","choose what to do","act","cog","across domain","act-cog","take a walk-choose what to do",59
"pilot_anxvs9jox4","causal_trial_14",3278,77,"see something","jump up and down","cog","act","across domain","cog-act","see something-jump up and down",78
"pilot_anxvs9jox4","causal_trial_15",2742,100,"think about something","feel sick","cog","bio","across domain","cog-bio","think about something-feel sick",81
"pilot_anxvs9jox4","causal_trial_16",4486,0,"feel sick","see something","bio","cog","across domain","bio-cog","feel sick-see something",34
"pilot_anxvs9jox4","causal_trial_17",4952,0,"take a walk","hear something","act","cog","across domain","act-cog","take a walk-hear something",39
"pilot_anxvs9jox4","causal_trial_18",3484,0,"hear something","see something","cog","cog","within domain","cog-cog","hear something-see something",0
"pilot_anxvs9jox4","causal_trial_19",4190,75,"take a walk","think about something","act","cog","across domain","act-cog","take a walk-think about something",75
"pilot_anxvs9jox4","causal_trial_20",3187,75,"feel pain","choose what to do","bio","cog","across domain","bio-cog","feel pain-choose what to do",72
"pilot_anxvs9jox4","causal_trial_21",2777,76,"feel sick","sit down","bio","act","across domain","bio-act","feel sick-sit down",76
"pilot_anxvs9jox4","causal_trial_22",3256,76,"feel sick","reach for something","bio","act","across domain","bio-act","feel sick-reach for something",62
"pilot_anxvs9jox4","causal_trial_23",3169,0,"jump up and down","kick something","act","act","within domain","act-act","jump up and down-kick something",54
"pilot_anxvs9jox4","causal_trial_24",2596,0,"feel tired","see something","bio","cog","across domain","bio-cog","feel tired-see something",0
"pilot_anxvs9jox4","causal_trial_25",2789,72,"kick something","feel tired","act","bio","across domain","act-bio","kick something-feel tired",50
"pilot_anxvs9jox4","causal_trial_26",31841,28,"feel hungry","feel tired","bio","bio","within domain","bio-bio","feel hungry-feel tired",55
"pilot_anxvs9jox4","causal_trial_27",6897,100,"feel pain","remember something","bio","cog","across domain","bio-cog","feel pain-remember something",100
"pilot_anxvs9jox4","causal_trial_28",3151,71,"kick something","remember something","act","cog","across domain","act-cog","kick something-remember something",56
"pilot_anxvs9jox4","causal_trial_29",8983,70,"sit down","see something","act","cog","across domain","act-cog","sit down-see something",62
"pilot_anxvs9jox4","causal_trial_30",3396,79,"think about something","jump up and down","cog","act","across domain","cog-act","think about something-jump up and down",74
"pilot_anxvs9jox4","causal_trial_31",3073,100,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_anxvs9jox4","causal_trial_32",14017,75,"feel pain","think about something","bio","cog","across domain","bio-cog","feel pain-think about something",46
"pilot_anxvs9jox4","causal_trial_33",2904,0,"feel scared","hear something","bio","cog","across domain","bio-cog","feel scared-hear something",28
"pilot_anxvs9jox4","causal_trial_34",2794,82,"think about something","feel tired","cog","bio","across domain","cog-bio","think about something-feel tired",69
"pilot_anxvs9jox4","causal_trial_35",2798,78,"see something","feel hungry","cog","bio","across domain","cog-bio","see something-feel hungry",64
"pilot_anxvs9jox4","causal_trial_36",6617,32,"take a walk","feel scared","act","bio","across domain","act-bio","take a walk-feel scared",26
"pilot_anxvs9jox4","causal_trial_37",14412,76,"feel scared","feel sick","bio","bio","within domain","bio-bio","feel scared-feel sick",72
"pilot_anxvs9jox4","causal_trial_38",6893,71,"feel scared","take a walk","bio","act","across domain","bio-act","feel scared-take a walk",55
"pilot_anxvs9jox4","causal_trial_39",2612,24,"feel hungry","jump up and down","bio","act","across domain","bio-act","feel hungry-jump up and down",31
"pilot_anxvs9jox4","causal_trial_40",4066,77,"feel hungry","feel pain","bio","bio","within domain","bio-bio","feel hungry-feel pain",78
"pilot_anxvs9jox4","causal_trial_41",3283,0,"remember something","hear something","cog","cog","within domain","cog-cog","remember something-hear something",16
